Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence	state	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree	Haunted Places Witness Count	Combined_Evidence	Witness_Count_Group	QUANTITY	TIME	FAC	ORG	LOC	EVENT
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	['McNeale Hall']	['Idyllwild Arts Academy']	[]	[]
night	Mysterious Occurrences	Unknown	False	False	California	84.45	36.19	14.05	5	None	2-5	[]	['late at night']	[]	[]	[]	[]
night		Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	['every night']	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	['La Llorona', 'the Imperial Valley']	[]
night	Sounds and Noises	Several Ghosts	True	True	California	84.45	36.19	14.05	10	Both	6-10	[]	['One Rainy night', 'late one rainy night', 'midnight', 'prom night']	[]	['the Indio Library', 'Indio High', 'Indio High School']	[]	[]
Unknown	Ghostly Sightings	Unknown	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	[]	[]	[]	[]	[]
Unknown	Mysterious Occurrences	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	['Preston Castle', 'Division Board']	[]	[]
night	Ghostly Sightings	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	['Irvine park']	['KKK']	[]	[]
night	Violent or Tragic Deaths	Male Ghost	True	False	California	84.45	36.19	14.05	5	Visual Only	2-5	[]	['night']	[]	[]	[]	[]
night		Unknown	False	False	California	84.45	36.19	14.05	0	None	0	[]	['10:30pm']	[]	[]	[]	[]
night	Murder	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	['night']	['campus dr.']	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	False	False	California	84.45	36.19	14.05	5	None	2-5	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	['The Willow Hotel']	['Hotel']	[]	[]
Unknown	Murder	Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	2	Both	2-5	[]	['night']	['Kerney Mansion']	[]	[]	[]
Unknown		Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['1:30am']	[]	[]	[]	[]
night	Ghostly Sightings	Female Ghost	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	[]	['Arvin Mortuary']	[]	[]
night		Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	['night']	['hwy 395']	[]	[]	[]
Unknown	Murder	Unknown	False	False	California	84.45	36.19	14.05	10	None	6-10	['about a foot']	[]	['Freeway 99', 'Lerdo Highway', 'State Route 43']	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Orb	False	True	California	84.45	36.19	14.05	6	Audio Only	6-10	[]	['night']	['Bangor St.']	[]	[]	[]
night	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True	California	84.45	36.19	14.05	2	Both	2-5	[]	[]	[]	['Amtrak']	[]	[]
night	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	[]	[]	[]	[]	[]
night	Mysterious Occurrences	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['Late at night']	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	15	Both	10+	[]	[]	['Roscrances Ave']	[]	[]	[]
night		Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['Late nights']	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	True	False	California	84.45	36.19	14.05	6	Visual Only	6-10	[]	['night']	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Male Ghost	False	False	California	84.45	36.19	14.05	0	None	0	[]	['late at night']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	California	84.45	36.19	14.05	8	Both	6-10	[]	['hours', 'store hours']	[]	"[""the Children 's Department"", 'AMC', 'The Broadway Department Store', 'Puente Hills Mall', 'Lingerie']"	[]	[]
night		Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['late at night']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	['Tyler House', 'the Leonard House', 'the Tyler House']	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['dusk', 'Late at night']	[]	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['The next morning', 'night']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True	California	84.45	36.19	14.05	5	Audio Only	2-5	[]	[]	[]	['Leisure World']	[]	[]
night	Violent or Tragic Deaths	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	['night']	['Birmingham High School', 'the Performing Arts Building']	['Birmingham High School']	[]	['WWII', 'World War II']
Unknown	Fire and Destruction	Unknown	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	True	California	84.45	36.19	14.05	4	Audio Only	2-5	[]	[]	[]	['Elsinore High School', 'Elsinore Middle School']	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	['The Chimes']	[]	[]
morning	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['about 1 am in the morning', 'nights']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	['the night(1997']	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	False	False	California	84.45	36.19	14.05	0	None	0	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night		Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	['night']	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['late at night']	['90th']	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	['LPAC']	[]	[]
Unknown	Ghostly Sightings	Female Ghost	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
evening	Violent or Tragic Deaths	Male Ghost	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	['dusk']	['the Mossdale bridge']	[]	['San Joaquin']	[]
night	Violent or Tragic Deaths	Unknown	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['night', 'the night']	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Ghostly Sightings	Child Ghost	True	False	California	84.45	36.19	14.05	3	Visual Only	2-5	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['One night']	[]	[]	[]	[]
night	Ghostly Sightings	Male Ghost	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['2:00 am', 'night']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	California	84.45	36.19	14.05	5	Visual Only	2-5	[]	[]	[]	['Narbone']	[]	[]
night	Violent or Tragic Deaths	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	['night']	[]	[]	['Chumash']	[]
night		Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown		Unknown	False	True	California	84.45	36.19	14.05	12	Audio Only	10+	[]	[]	[]	['Navy', 'Cal State Long Beach']	['Pacific']	['WWII']
Unknown	Mysterious Occurrences	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	['6th St. -', 'Casa Bonita']	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['late night']	[]	[]	[]	[]
night		Unknown	True	False	California	84.45	36.19	14.05	6	Visual Only	6-10	[]	['late at night']	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Female Ghost	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	['B340']	[]	[]	[]
night	Ghostly Sightings	Male Ghost	True	True	California	84.45	36.19	14.05	8	Both	6-10	[]	[]	[]	['VH-1']	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	['Pabst Blue Ribbon']	[]	[]
night	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	['morning', 'Late at night']	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	False	California	84.45	36.19	14.05	5	Visual Only	2-5	[]	[]	['Suva Intermediate School']	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	['Belmont School for Girls', 'Belmont']	[]	[]
night	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	['WWII']
night	Fire and Destruction	Unknown	False	True	California	84.45	36.19	14.05	2	Audio Only	2-5	[]	['late at night']	['Roosevelt High School', 'Roosevelt']	[]	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	['Our Lady of Talpa Catholic School']	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['all hours of the day', 'night']	[]	['CSULA']	[]	[]
night	Violent or Tragic Deaths	Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	['ARCO Refinery']	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	['Centennial St - Footsteps']	[]	[]	[]
night	Sounds and Noises	Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['the night hours']	['Puente Hills Mall']	['AMC', 'Sears', 'Robinsons May']	[]	[]
night	Murder	Female Ghost	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['night']	[]	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
night	Fire and Destruction	Unknown	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	['The First Interstate Bldg']	['AON']	[]	[]
night	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['night']	['Dodger Stadium', 'Lodge', 'Solano Ave', 'Elysian Park', 'the 110 fwy', 'the 110 Fwy']	['Cathedral High School']	[]	[]
night	Ghostly Sightings	Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Mysterious Occurrences	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	False	California	84.45	36.19	14.05	5	None	2-5	[]	[]	[]	[]	[]	[]
night	Ghostly Sightings	Unknown	True	False	California	84.45	36.19	14.05	0	Visual Only	0	[]	[]	[]	[]	[]	[]
Unknown	Mysterious Occurrences	Unknown	False	True	California	84.45	36.19	14.05	10	Audio Only	6-10	[]	[]	['the parks camp road']	[]	[]	[]
Unknown	Ghostly Sightings	Male Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	['Franklin High School']	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	"['Mansion', ""Houdini's Mansion""]"	[]	[]	[]
night	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	5	Audio Only	2-5	[]	[]	['Wilshire Boulevard']	['the Southwest Law School']	[]	[]
evening	Unexplained Movements and Physical Manifestations	Unknown	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['hours', 'the early morning']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	[]	[]	[]
evening	Ghostly Sightings	Child Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	[]	"[""Knott's Chicken Dinner Restaurant""]"	[]	[]
night	Violent or Tragic Deaths	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['One night', 'night']	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Female Ghost	False	False	California	84.45	36.19	14.05	1	None	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['hours', 'around 6:30']	[]	['Lincoln High School']	[]	[]
Unknown	Mysterious Occurrences	Several Ghosts	True	True	California	84.45	36.19	14.05	6	Both	6-10	[]	[]	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['the hours of 0130-0500 am', 'these hours']	['City Hall', 'Hallway']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown		Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Female Ghost	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['night']	[]	['Jesuits']	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	False	True	California	84.45	36.19	14.05	4	Audio Only	2-5	[]	[]	[]	['The Strub Theatre']	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	[]	['Rains Hall']	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	['AMC']	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	['late nights']	[]	['Neutrogena']	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['late at night']	['the Erdman Residence Hall', 'Erdman Hall']	['Occidental College']	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	False	California	84.45	36.19	14.05	0	None	0	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Female Ghost	False	False	California	84.45	36.19	14.05	8	None	6-10	[]	[]	[]	['Qantas Freight']	[]	[]
Unknown	Mysterious Occurrences	Unknown	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	[]	[]	[]	[]
night	Mysterious Occurrences	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Ghostly Sightings	Male Ghost	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	False	False	California	84.45	36.19	14.05	1	None	1	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Several Ghosts	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['nights', 'night']	[]	[]	[]	[]
Unknown	Object and Environmental Manipulation	Female Ghost	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['9:00PM through 3:00 AM']	['Lemon Ave']	[]	[]	[]
night	Ghostly Sightings	Several Ghosts	False	True	California	84.45	36.19	14.05	1	Audio Only	1	[]	['hours', 'Late at night']	[]	[]	[]	[]
night	Ghostly Sightings	Female Ghost	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['the night']	['Dykstra Hall']	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True	California	84.45	36.19	14.05	5	Audio Only	2-5	['about 8 feet']	['late at night']	[]	['Wilson']	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False	California	84.45	36.19	14.05	0	None	0	[]	[]	['Broadway', '6th', 'Palace']	[]	[]	[]
Unknown		Unknown	False	False	California	84.45	36.19	14.05	1	None	1	[]	[]	[]	['Facilities', 'Dykstra Hall - Dykstra']	[]	[]
night	Object and Environmental Manipulation	Unknown	False	True	California	84.45	36.19	14.05	0	Audio Only	0	[]	[]	['Venice high school']	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Female Ghost	True	True	California	84.45	36.19	14.05	5	Both	2-5	[]	[]	['Westminster', 'Building Number 26', 'Building number 26', 'Westminster Ave', 'Westminster Ave.', 'Westminster Avenue']	[]	['Venice Beach Boardwalk']	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	False	False	California	84.45	36.19	14.05	0	None	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	California	84.45	36.19	14.05	1	Both	1	[]	['hours']	[]	[]	[]	[]
night	Ghostly Sightings	Female Ghost	True	True	California	84.45	36.19	14.05	0	Both	0	[]	['night']	[]	[]	[]	[]
night	Violent or Tragic Deaths	Male Ghost	False	False	California	84.45	36.19	14.05	1	None	1	[]	['night']	[]	[]	[]	[]
Unknown	Ghostly Sightings	Male Ghost	True	True	California	84.45	36.19	14.05	0	Both	0	[]	[]	['the Opera House']	[]	[]	[]
night		Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	[]	[]	['Old Santa Cruz highway']	[]	[]	[]
night	Murder	Unknown	True	False	California	84.45	36.19	14.05	1	Visual Only	1	['about 15 feet']	['night']	[]	[]	[]	[]
night	Murder	Unknown	True	False	Arizona	88.97	32.43	12.64	2	Visual Only	2-5	[]	['midnight']	[]	[]	['Lake Tahoe']	[]
Unknown	Ghostly Sightings	Several Ghosts	True	False	Arizona	88.97	32.43	12.64	6	Visual Only	6-10	[]	[]	[]	[]	['New River']	[]
night	Ghostly Sightings	Unknown	False	True	Arizona	88.97	32.43	12.64	0	Audio Only	0	['at least 7 foot']	['night']	[]	['Toltec Elementary School']	[]	[]
night	Ghostly Sightings	Female Ghost	False	False	Arizona	88.97	32.43	12.64	4	None	2-5	[]	['the night']	['the Grandma Room', 'the Blue Room']	[]	[]	[]
morning	Ghostly Sightings	Several Ghosts	True	True	Arizona	88.97	32.43	12.64	6	Both	6-10	[]	['early in the mornings']	['The Division 2 Judge']	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Female Ghost	True	False	Arizona	88.97	32.43	12.64	1	Visual Only	1	[]	[]	[]	[]	[]	[]
morning	Murder	Unknown	True	True	Arizona	88.97	32.43	12.64	1	Both	1	[]	['the morning']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Male Ghost	True	True	Arizona	88.97	32.43	12.64	0	Both	0	[]	[]	[]	['City Hall']	[]	[]
night	Mysterious Occurrences	Unknown	False	True	Arizona	88.97	32.43	12.64	4	Audio Only	2-5	[]	['night', 'all hours']	[]	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	True	False	Arizona	88.97	32.43	12.64	0	Visual Only	0	[]	[]	[]	"['7-11', ""Manuel's"", 'the 7-11']"	[]	[]
night	Sounds and Noises	Unknown	False	True	Arizona	88.97	32.43	12.64	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night		Unknown	False	False	Arizona	88.97	32.43	12.64	0	None	0	[]	['late at night']	[]	[]	[]	[]
night		Female Ghost	False	False	Arizona	88.97	32.43	12.64	12	None	10+	[]	[]	[]	[]	[]	[]
night	Sounds and Noises	Unknown	True	True	Arizona	88.97	32.43	12.64	10	Both	6-10	[]	['night']	[]	[]	[]	[]
Unknown	Ghostly Sightings	Unknown	False	True	Arizona	88.97	32.43	12.64	1	Audio Only	1	[]	[]	['Old Main’s', 'Old Main']	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	False	True	Arizona	88.97	32.43	12.64	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown	Sounds and Noises	Unknown	False	True	Arizona	88.97	32.43	12.64	0	Audio Only	0	[]	[]	[]	[]	['Massacre Cave']	[]
Unknown		Unknown	True	False	Arizona	88.97	32.43	12.64	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Several Ghosts	True	False	Arizona	88.97	32.43	12.64	1	Visual Only	1	[]	['certain nights']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Child Ghost	False	True	Arizona	88.97	32.43	12.64	1	Audio Only	1	[]	[]	[]	[]	['Mezzanine']	[]
Unknown	Murder	Child Ghost	False	True	Arizona	88.97	32.43	12.64	1	Audio Only	1	[]	[]	['Old Stable']	[]	[]	[]
Unknown	Ghostly Sightings	Female Ghost	False	False	Arizona	88.97	32.43	12.64	1	None	1	[]	[]	[]	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	False	False	Arizona	88.97	32.43	12.64	1	None	1	[]	[]	[]	[]	[]	[]
Unknown		Unknown	True	True	Arizona	88.97	32.43	12.64	1	Both	1	['at least 30-40 feet']	['hours']	[]	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	False	True	Arizona	88.97	32.43	12.64	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False	Arizona	88.97	32.43	12.64	0	None	0	[]	[]	['North Morton Hall']	[]	[]	[]
evening	Murder	Unknown	False	True	Arizona	88.97	32.43	12.64	5	Audio Only	2-5	[]	['late at night', 'One evening', 'the evening']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Ghost	True	False	Arizona	88.97	32.43	12.64	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	False	True	Arizona	88.97	32.43	12.64	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown	Murder	Child Ghost	False	True	Arizona	88.97	32.43	12.64	4	Audio Only	2-5	[]	[]	['the Arizona Death House']	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	False	True	Arizona	88.97	32.43	12.64	4	Audio Only	2-5	[]	[]	[]	[]	[]	[]
night	Mysterious Occurrences	Unknown	False	True	Arizona	88.97	32.43	12.64	0	Audio Only	0	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	True	Arizona	88.97	32.43	12.64	5	Audio Only	2-5	[]	[]	['Saguaro', 'Saguaro Blvd']	[]	[]	[]
Unknown	Ghostly Sightings	Several Ghosts	True	True	Arizona	88.97	32.43	12.64	0	Both	0	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	True	True	Arizona	88.97	32.43	12.64	1	Both	1	[]	[]	['Las Casas Dorms']	[]	[]	[]
