Time of Day	Event type	Apparition Type	Image/Video/Visual Evidence	Audio Evidence	state	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree	Haunted Places Witness Count	Combined_Evidence	Witness_Count_Group	QUANTITY	TIME	FAC	ORG	LOC	EVENT
night		Several Ghosts	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	['Sacred Heart Academy']	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	[]	[]	[]	[]	[]
Unknown	Violent or Tragic Deaths	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
Unknown	Murder	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
Unknown		Unknown	False	False	Michigan	91.96	31.67	12.48	1	None	1	[]	[]	[]	[]	[]	[]
Unknown	Murder	Child Ghost	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	['Point Iroquois Lighthouse']	[]	[]	[]
Unknown	Sounds and Noises	Unknown	True	True	Michigan	91.96	31.67	12.48	0	Both	0	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Unknown	False	True	Michigan	91.96	31.67	12.48	10	Audio Only	6-10	[]	['a split second']	[]	[]	[]	[]
Unknown	Unexplained Movements and Physical Manifestations	Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	['about 9:00pm to', '3:00 am']	[]	[]	['oak ridge']	[]
night	Unexplained Movements and Physical Manifestations	Several Ghosts	False	False	Michigan	91.96	31.67	12.48	0	None	0	[]	['late hours of the night']	[]	[]	[]	[]
Unknown		Unknown	True	False	Michigan	91.96	31.67	12.48	0	Visual Only	0	[]	[]	[]	[]	[]	[]
night	Object and Environmental Manipulation	Unknown	True	False	Michigan	91.96	31.67	12.48	1	Visual Only	1	[]	[]	[]	[]	[]	[]
night	Violent or Tragic Deaths	Orb	False	True	Michigan	91.96	31.67	12.48	1	Audio Only	1	[]	[]	[]	[]	[]	[]
night	Unexplained Movements and Physical Manifestations	Child Ghost	False	True	Michigan	91.96	31.67	12.48	0	Audio Only	0	[]	[]	['rd.']	[]	[]	[]
