Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
night		Michigan	Both	1
night	Violent or Tragic Deaths	Michigan	Visual Only	2-5
night	Ghostly Sightings	Michigan	Audio Only	1
night	Murder	Michigan	Audio Only	0
night	Murder	Michigan	Visual Only	0
night	Murder	Michigan	Both	0
night		Michigan	Visual Only	1
night	Violent or Tragic Deaths	Michigan	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	0
night	Sounds and Noises	Michigan	Both	0
night		Michigan	Audio Only	0
Unknown	Violent or Tragic Deaths	Michigan	Both	1
night	Mysterious Occurrences	Michigan	Both	1
night	Unexplained Movements and Physical Manifestations	Michigan	None	1
night	Object and Environmental Manipulation	Michigan	Both	1
Unknown	Sounds and Noises	Michigan	Both	0
afternoon	Sounds and Noises	Michigan	Both	0
night	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	1
night		Michigan	None	2-5
Unknown		Michigan	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Michigan	Visual Only	1
Unknown		Michigan	Visual Only	0
night	Ghostly Sightings	Michigan	Both	2-5
night	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	1
night	Violent or Tragic Deaths	Michigan	None	1
Unknown	Murder	Michigan	Visual Only	0
Unknown	Violent or Tragic Deaths	Michigan	Visual Only	1
night	Sounds and Noises	Michigan	Both	1
Unknown		Michigan	Both	1
night	Sounds and Noises	Michigan	Both	0
night	Object and Environmental Manipulation	Michigan	Both	2-5
night	Ghostly Sightings	Michigan	Both	1
night		Michigan	None	10+
Unknown		Michigan	None	1
night	Ghostly Sightings	Michigan	Both	2-5
Unknown	Murder	Michigan	None	2-5
Unknown	Murder	Michigan	Audio Only	1
night	Violent or Tragic Deaths	Michigan	Both	2-5
night		Michigan	Audio Only	2-5
night	Violent or Tragic Deaths	Michigan	Both	1
night	Ghostly Sightings	Michigan	Both	1
night	Violent or Tragic Deaths	Michigan	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Michigan	None	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	1
Unknown		Michigan	Audio Only	1
Unknown	Murder	Michigan	Audio Only	1
night		Michigan	Audio Only	1
night	Violent or Tragic Deaths	Michigan	Both	0
evening		Michigan	None	2-5
night	Unexplained Movements and Physical Manifestations	Michigan	Both	6-10
Unknown	Ghostly Sightings	Michigan	Visual Only	0
Unknown		Michigan	Both	0
Unknown	Violent or Tragic Deaths	Michigan	Both	2-5
night	Ghostly Sightings	Michigan	Both	1
night		Michigan	Both	0
night	Violent or Tragic Deaths	Michigan	Both	0
Unknown	Violent or Tragic Deaths	Michigan	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	1
Unknown	Sounds and Noises	Michigan	Both	1
Unknown	Violent or Tragic Deaths	Michigan	None	2-5
night	Murder	Michigan	Both	0
night	Ghostly Sightings	Michigan	None	10+
night	Sounds and Noises	Michigan	Both	2-5
Unknown	Sounds and Noises	Michigan	Both	0
night	Object and Environmental Manipulation	Michigan	Both	0
night		Michigan	Visual Only	1
night	Object and Environmental Manipulation	Michigan	None	0
night	Murder	Michigan	Both	1
night	Ghostly Sightings	Michigan	None	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Audio Only	0
Unknown	Violent or Tragic Deaths	Michigan	Both	1
night	Sounds and Noises	Michigan	Both	6-10
night	Violent or Tragic Deaths	Michigan	Audio Only	0
night	Sounds and Noises	Michigan	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Both	1
night	Violent or Tragic Deaths	Michigan	Audio Only	1
night	Mysterious Occurrences	Michigan	Both	0
Unknown	Murder	Michigan	None	2-5
night	Violent or Tragic Deaths	Michigan	Visual Only	10+
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Michigan	None	0
Unknown	Unexplained Movements and Physical Manifestations	Michigan	Visual Only	0
Unknown	Mysterious Occurrences	Michigan	Audio Only	0
night	Sounds and Noises	Michigan	Both	0
night	Ghostly Sightings	Michigan	Visual Only	0
night	Ghostly Sightings	Michigan	Audio Only	2-5
Unknown	Murder	Michigan	Both	0
morning	Object and Environmental Manipulation	Michigan	Audio Only	1
Unknown		Michigan	Visual Only	0
Unknown	Ghostly Sightings	Michigan	Audio Only	6-10
night	Violent or Tragic Deaths	Michigan	None	1
night	Ghostly Sightings	Michigan	Audio Only	1
night	Ghostly Sightings	Michigan	Audio Only	0
Unknown	Violent or Tragic Deaths	Michigan	Both	2-5
night	Violent or Tragic Deaths	Michigan	Visual Only	0
night	Ghostly Sightings	Michigan	Audio Only	1
night	Ghostly Sightings	Michigan	None	1
night	Sounds and Noises	Michigan	Both	6-10
night	Violent or Tragic Deaths	Michigan	Audio Only	0
Unknown	Violent or Tragic Deaths	Michigan	Both	0
night	Murder	Michigan	Audio Only	6-10
Unknown		Michigan	Visual Only	0
night	Object and Environmental Manipulation	Michigan	Both	1
night	Unexplained Movements and Physical Manifestations	Michigan	Visual Only	1
Unknown	Murder	Michigan	Both	1
night	Murder	Michigan	Both	10+
night	Murder	Pennsylvania	Both	1
night	Fire and Destruction	Pennsylvania	Both	0
night	Fire and Destruction	Pennsylvania	Both	1
Unknown	Ghostly Sightings	Pennsylvania	None	0
Unknown		Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
Unknown	Ghostly Sightings	Pennsylvania	Both	6-10
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	1
Unknown	Ghostly Sightings	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Visual Only	0
night	Mysterious Occurrences	Pennsylvania	Visual Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
morning	Ghostly Sightings	Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
night	Sounds and Noises	Pennsylvania	Both	0
night	Mysterious Occurrences	Pennsylvania	Both	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	2-5
Unknown	Murder	Pennsylvania	None	1
night	Murder	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Both	10+
Unknown		Pennsylvania	None	6-10
Unknown	Murder	Pennsylvania	Both	1
night		Pennsylvania	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
