Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
night	Ghostly Sightings	California	Visual Only	0
Unknown		California	Visual Only	1
Unknown	Ghostly Sightings	California	Both	6-10
night	Ghostly Sightings	California	Both	1
night	Unexplained Movements and Physical Manifestations	California	Both	1
night	Ghostly Sightings	California	Both	1
Unknown	Unexplained Movements and Physical Manifestations	California	None	0
Unknown	Fire and Destruction	California	None	0
Unknown	Violent or Tragic Deaths	California	Visual Only	1
night	Unexplained Movements and Physical Manifestations	California	Both	2-5
night	Object and Environmental Manipulation	California	Both	1
night		California	Visual Only	1
Unknown	Ghostly Sightings	California	Audio Only	0
night	Unexplained Movements and Physical Manifestations	California	Both	1
night	Ghostly Sightings	California	Both	6-10
night	Unexplained Movements and Physical Manifestations	California	Audio Only	0
Unknown		California	Both	1
night	Ghostly Sightings	California	Both	1
Unknown		California	None	0
Unknown	Ghostly Sightings	California	Visual Only	1
morning	Violent or Tragic Deaths	California	Both	1
Unknown		California	Audio Only	0
Unknown	Violent or Tragic Deaths	California	Visual Only	2-5
Unknown	Ghostly Sightings	California	Visual Only	0
night	Unexplained Movements and Physical Manifestations	California	Both	0
night	Unexplained Movements and Physical Manifestations	California	Both	2-5
Unknown		California	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	California	Visual Only	1
night	Unexplained Movements and Physical Manifestations	California	Audio Only	0
Unknown		California	None	0
Unknown	Murder	California	Visual Only	1
Unknown	Violent or Tragic Deaths	California	Visual Only	0
Unknown	Sounds and Noises	California	Audio Only	10+
night	Sounds and Noises	California	Audio Only	1
Unknown	Ghostly Sightings	California	Both	0
Unknown	Ghostly Sightings	California	Audio Only	2-5
Unknown	Ghostly Sightings	California	Visual Only	1
night	Ghostly Sightings	California	Audio Only	1
Unknown		California	Both	0
night	Object and Environmental Manipulation	California	Both	2-5
night		California	Audio Only	0
Unknown	Ghostly Sightings	California	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	0
night	Violent or Tragic Deaths	California	Both	2-5
night	Mysterious Occurrences	California	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	California	Both	2-5
night	Murder	California	None	0
Unknown	Ghostly Sightings	California	None	0
night	Sounds and Noises	California	Both	0
Unknown	Ghostly Sightings	California	None	1
Unknown	Violent or Tragic Deaths	California	Visual Only	0
night	Mysterious Occurrences	California	None	1
Unknown	Sounds and Noises	California	Audio Only	1
Unknown	Ghostly Sightings	California	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	1
night	Ghostly Sightings	California	Visual Only	0
Unknown	Ghostly Sightings	California	None	1
Unknown	Murder	California	None	0
night	Violent or Tragic Deaths	California	Audio Only	1
Unknown	Ghostly Sightings	California	Audio Only	0
night	Ghostly Sightings	California	Both	1
night	Violent or Tragic Deaths	California	Audio Only	6-10
night	Sounds and Noises	California	Audio Only	0
night	Violent or Tragic Deaths	California	Visual Only	1
night	Unexplained Movements and Physical Manifestations	California	Both	2-5
afternoon	Unexplained Movements and Physical Manifestations	California	Both	0
Unknown	Ghostly Sightings	California	None	1
night	Object and Environmental Manipulation	California	Audio Only	1
Unknown	Ghostly Sightings	California	None	6-10
night	Unexplained Movements and Physical Manifestations	California	Visual Only	0
night	Violent or Tragic Deaths	California	Both	2-5
night	Ghostly Sightings	California	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Audio Only	1
Unknown	Ghostly Sightings	California	Both	1
night	Sounds and Noises	California	Audio Only	1
night	Unexplained Movements and Physical Manifestations	California	Audio Only	0
Unknown		California	None	0
Unknown	Ghostly Sightings	California	Visual Only	1
morning	Mysterious Occurrences	California	Audio Only	1
night	Unexplained Movements and Physical Manifestations	California	Both	2-5
night	Violent or Tragic Deaths	California	Audio Only	0
night	Violent or Tragic Deaths	California	Both	6-10
night	Unexplained Movements and Physical Manifestations	California	Both	1
night	Mysterious Occurrences	California	None	2-5
night		California	Visual Only	1
Unknown	Sounds and Noises	California	Audio Only	1
night	Sounds and Noises	California	Both	6-10
Unknown	Ghostly Sightings	California	Both	2-5
Unknown	Mysterious Occurrences	California	Audio Only	1
night	Ghostly Sightings	California	Audio Only	0
night	Violent or Tragic Deaths	California	Visual Only	2-5
night		California	None	0
night	Murder	California	Audio Only	0
Unknown	Ghostly Sightings	California	None	2-5
Unknown	Unexplained Movements and Physical Manifestations	California	Visual Only	0
Unknown	Murder	California	Visual Only	1
Unknown	Sounds and Noises	California	Both	0
Unknown	Violent or Tragic Deaths	California	Both	1
night	Unexplained Movements and Physical Manifestations	California	Both	2-5
Unknown		California	Both	0
night	Ghostly Sightings	California	Both	6-10
night		California	Visual Only	0
Unknown	Murder	California	None	6-10
Unknown	Violent or Tragic Deaths	California	Visual Only	1
night	Object and Environmental Manipulation	California	Audio Only	6-10
night	Sounds and Noises	California	Audio Only	0
Unknown	Sounds and Noises	California	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	2-5
night	Ghostly Sightings	California	Both	2-5
night	Mysterious Occurrences	California	Both	0
night	Sounds and Noises	California	Both	0
Unknown		California	Visual Only	0
night	Sounds and Noises	California	Audio Only	1
night	Sounds and Noises	California	Both	10+
night		California	Both	0
night	Violent or Tragic Deaths	California	Visual Only	6-10
night	Unexplained Movements and Physical Manifestations	California	None	0
Unknown	Unexplained Movements and Physical Manifestations	California	Both	6-10
night		California	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	1
night	Unexplained Movements and Physical Manifestations	California	Audio Only	1
Unknown	Ghostly Sightings	California	Both	0
night	Sounds and Noises	California	Both	1
Unknown	Unexplained Movements and Physical Manifestations	California	Audio Only	2-5
night	Violent or Tragic Deaths	California	Audio Only	0
Unknown	Fire and Destruction	California	Both	1
Unknown	Murder	California	Visual Only	0
Unknown	Violent or Tragic Deaths	California	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	California	Visual Only	1
morning	Sounds and Noises	California	Both	1
Unknown	Unexplained Movements and Physical Manifestations	California	Visual Only	0
night	Object and Environmental Manipulation	California	Audio Only	0
night	Unexplained Movements and Physical Manifestations	California	Both	0
Unknown		California	None	0
Unknown	Sounds and Noises	California	Audio Only	1
night		California	Visual Only	1
night	Sounds and Noises	California	Both	0
night	Object and Environmental Manipulation	California	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	0
Unknown	Ghostly Sightings	California	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	California	Both	1
evening	Violent or Tragic Deaths	California	Visual Only	1
night	Violent or Tragic Deaths	California	Both	2-5
Unknown	Violent or Tragic Deaths	California	Both	2-5
night	Ghostly Sightings	California	Both	6-10
night	Unexplained Movements and Physical Manifestations	California	Both	0
night	Unexplained Movements and Physical Manifestations	California	Both	1
night	Violent or Tragic Deaths	California	Audio Only	1
night	Object and Environmental Manipulation	California	Visual Only	1
Unknown	Ghostly Sightings	California	Visual Only	2-5
Unknown	Sounds and Noises	California	Audio Only	0
night	Violent or Tragic Deaths	California	Both	0
night	Ghostly Sightings	California	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Visual Only	2-5
night	Violent or Tragic Deaths	California	Both	1
Unknown		California	Visual Only	0
night	Sounds and Noises	California	Audio Only	0
night		California	Visual Only	1
Unknown		California	Audio Only	10+
Unknown	Mysterious Occurrences	California	Audio Only	1
Unknown	Sounds and Noises	California	Audio Only	1
night	Unexplained Movements and Physical Manifestations	California	Both	0
night		California	Visual Only	6-10
Unknown	Violent or Tragic Deaths	California	Both	6-10
Unknown		California	Visual Only	0
Unknown	Ghostly Sightings	California	Both	1
night	Object and Environmental Manipulation	California	Audio Only	0
night	Ghostly Sightings	California	Both	6-10
Unknown	Sounds and Noises	California	Both	0
night	Sounds and Noises	California	Both	2-5
Unknown	Violent or Tragic Deaths	California	Visual Only	2-5
night	Ghostly Sightings	California	Both	1
night	Sounds and Noises	California	Audio Only	1
night	Fire and Destruction	California	Audio Only	2-5
Unknown	Sounds and Noises	California	Both	0
night	Unexplained Movements and Physical Manifestations	California	Both	1
night	Violent or Tragic Deaths	California	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	California	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	0
night	Sounds and Noises	California	Audio Only	1
night	Murder	California	Audio Only	1
Unknown	Ghostly Sightings	California	Both	0
night	Fire and Destruction	California	Both	6-10
night	Ghostly Sightings	California	Both	1
night	Ghostly Sightings	California	Visual Only	1
night	Mysterious Occurrences	California	Audio Only	0
night	Unexplained Movements and Physical Manifestations	California	None	2-5
night	Ghostly Sightings	California	Visual Only	0
Unknown	Mysterious Occurrences	California	Audio Only	6-10
Unknown	Ghostly Sightings	California	Both	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	6-10
night	Sounds and Noises	California	Audio Only	2-5
evening	Unexplained Movements and Physical Manifestations	California	Both	1
Unknown	Unexplained Movements and Physical Manifestations	California	Both	1
evening	Ghostly Sightings	California	Both	1
night	Violent or Tragic Deaths	California	Audio Only	1
Unknown	Violent or Tragic Deaths	California	None	1
night	Unexplained Movements and Physical Manifestations	California	Audio Only	1
night	Object and Environmental Manipulation	California	Audio Only	1
Unknown	Mysterious Occurrences	California	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	California	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	California	Visual Only	1
Unknown		California	Audio Only	0
night	Sounds and Noises	California	Both	1
night	Unexplained Movements and Physical Manifestations	California	Audio Only	2-5
Unknown	Ghostly Sightings	California	Both	1
night	Unexplained Movements and Physical Manifestations	California	Visual Only	1
Unknown	Sounds and Noises	California	Audio Only	1
night	Ghostly Sightings	California	Visual Only	1
night	Unexplained Movements and Physical Manifestations	California	Both	1
Unknown	Violent or Tragic Deaths	California	None	0
night	Object and Environmental Manipulation	California	Audio Only	1
Unknown	Violent or Tragic Deaths	California	None	6-10
Unknown	Mysterious Occurrences	California	Both	0
night	Mysterious Occurrences	California	Audio Only	1
Unknown	Ghostly Sightings	California	Visual Only	1
Unknown	Murder	California	None	1
night	Violent or Tragic Deaths	California	Both	1
Unknown	Object and Environmental Manipulation	California	Audio Only	1
Unknown	Murder	California	Audio Only	1
night	Ghostly Sightings	California	Audio Only	1
night	Ghostly Sightings	California	Both	0
night	Unexplained Movements and Physical Manifestations	California	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	California	None	0
Unknown		California	None	1
night	Object and Environmental Manipulation	California	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	California	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	California	None	0
Unknown		California	Visual Only	1
night	Sounds and Noises	California	Both	1
night	Ghostly Sightings	California	Both	0
night	Violent or Tragic Deaths	California	None	1
Unknown	Ghostly Sightings	California	Both	0
night		California	Visual Only	1
night	Murder	California	Visual Only	1
night	Murder	Arizona	Visual Only	2-5
Unknown	Ghostly Sightings	Arizona	Visual Only	6-10
night	Ghostly Sightings	Arizona	Audio Only	0
night	Ghostly Sightings	Arizona	None	2-5
morning	Ghostly Sightings	Arizona	Both	6-10
night	Unexplained Movements and Physical Manifestations	Arizona	Visual Only	1
morning	Murder	Arizona	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Both	0
night	Mysterious Occurrences	Arizona	Audio Only	2-5
Unknown	Ghostly Sightings	Arizona	Visual Only	0
night	Sounds and Noises	Arizona	Audio Only	1
night		Arizona	None	0
night		Arizona	None	10+
night	Sounds and Noises	Arizona	Both	6-10
Unknown	Ghostly Sightings	Arizona	Audio Only	1
Unknown	Ghostly Sightings	Arizona	Audio Only	0
Unknown	Sounds and Noises	Arizona	Audio Only	0
Unknown		Arizona	Visual Only	0
night	Violent or Tragic Deaths	Arizona	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	1
Unknown	Murder	Arizona	Audio Only	1
Unknown	Ghostly Sightings	Arizona	None	1
Unknown	Ghostly Sightings	Arizona	None	1
Unknown		Arizona	Both	1
Unknown	Ghostly Sightings	Arizona	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Arizona	None	0
evening	Murder	Arizona	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Visual Only	0
night	Object and Environmental Manipulation	Arizona	Audio Only	0
Unknown	Murder	Arizona	Audio Only	2-5
Unknown	Ghostly Sightings	Arizona	Audio Only	2-5
night	Mysterious Occurrences	Arizona	Audio Only	0
Unknown	Violent or Tragic Deaths	Arizona	Audio Only	2-5
Unknown	Ghostly Sightings	Arizona	Both	0
night	Object and Environmental Manipulation	Arizona	Both	1
night	Murder	Arizona	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Arizona	Both	0
Unknown	Sounds and Noises	Arizona	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Visual Only	0
Unknown	Sounds and Noises	Arizona	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Arizona	Both	0
night	Sounds and Noises	Arizona	Both	1
morning	Violent or Tragic Deaths	Arizona	None	2-5
Unknown		Arizona	Both	0
Unknown	Ghostly Sightings	Arizona	None	1
evening		Arizona	Audio Only	1
Unknown		Arizona	None	1
night	Murder	Arizona	None	6-10
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	2-5
Unknown	Ghostly Sightings	Arizona	None	1
Unknown	Ghostly Sightings	Arizona	Audio Only	0
night	Sounds and Noises	Arizona	Both	1
night	Object and Environmental Manipulation	Arizona	None	0
Unknown	Ghostly Sightings	Arizona	None	0
night	Violent or Tragic Deaths	Arizona	Audio Only	0
Unknown	Sounds and Noises	Arizona	Audio Only	0
Unknown	Violent or Tragic Deaths	Arizona	Visual Only	1
Unknown	Ghostly Sightings	Arizona	Both	0
night	Violent or Tragic Deaths	Arizona	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	None	1
night	Ghostly Sightings	Arizona	Audio Only	1
night	Violent or Tragic Deaths	Arizona	Visual Only	0
Unknown		Arizona	Visual Only	1
night	Murder	Arizona	Visual Only	1
night	Sounds and Noises	Arizona	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	1
Unknown	Ghostly Sightings	Arizona	Both	6-10
afternoon	Unexplained Movements and Physical Manifestations	Arizona	Both	0
Unknown	Ghostly Sightings	Arizona	None	0
Unknown	Sounds and Noises	Arizona	Both	6-10
morning	Violent or Tragic Deaths	Arizona	None	0
night	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	0
Unknown	Sounds and Noises	Arizona	Audio Only	1
night	Violent or Tragic Deaths	Arizona	Both	0
Unknown		Arizona	Audio Only	1
evening	Murder	Arizona	Both	2-5
night	Ghostly Sightings	Arizona	Both	2-5
evening	Ghostly Sightings	Arizona	Audio Only	1
night	Ghostly Sightings	Arizona	Audio Only	1
Unknown	Ghostly Sightings	Arizona	Both	1
night	Violent or Tragic Deaths	Arizona	Both	1
night	Ghostly Sightings	Arizona	Both	1
Unknown	Ghostly Sightings	Arizona	Audio Only	6-10
night		Arizona	Audio Only	1
night	Mysterious Occurrences	Arizona	Both	0
night	Murder	Arizona	Both	0
night	Unexplained Movements and Physical Manifestations	Arizona	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Both	0
night	Ghostly Sightings	Arizona	Both	1
night	Fire and Destruction	Arizona	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Arizona	None	0
Unknown	Sounds and Noises	Arizona	Audio Only	1
Unknown	Ghostly Sightings	Arizona	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Both	0
Unknown	Ghostly Sightings	Arizona	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	0
night	Murder	Arizona	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	None	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	0
Unknown	Violent or Tragic Deaths	Arizona	None	0
Unknown	Sounds and Noises	Arizona	Audio Only	2-5
Unknown		Arizona	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Arizona	None	0
night	Sounds and Noises	Arizona	Audio Only	1
night	Mysterious Occurrences	Arizona	None	2-5
Unknown	Sounds and Noises	Arizona	Audio Only	1
Unknown	Violent or Tragic Deaths	Arizona	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Visual Only	1
night	Violent or Tragic Deaths	Arizona	Both	2-5
night	Violent or Tragic Deaths	Arizona	Both	6-10
Unknown	Ghostly Sightings	Arizona	Visual Only	1
night	Sounds and Noises	Arizona	Both	1
night	Violent or Tragic Deaths	Arizona	Audio Only	1
Unknown		Arizona	Both	1
Unknown	Ghostly Sightings	Arizona	None	1
night	Mysterious Occurrences	Arizona	Visual Only	1
Unknown		Arizona	None	2-5
Unknown	Violent or Tragic Deaths	Arizona	Both	6-10
Unknown	Ghostly Sightings	Arizona	Both	1
Unknown	Violent or Tragic Deaths	Arizona	Both	1
Unknown	Sounds and Noises	Arizona	Both	1
morning		Arizona	Audio Only	2-5
Unknown	Murder	Arizona	Visual Only	0
Unknown	Violent or Tragic Deaths	Arizona	Both	2-5
night	Mysterious Occurrences	Arizona	None	0
Unknown	Sounds and Noises	Arizona	Both	0
Unknown		Arizona	None	1
Unknown	Violent or Tragic Deaths	Arizona	Visual Only	1
Unknown		Arizona	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Arizona	Visual Only	0
Unknown	Ghostly Sightings	Arizona	Audio Only	1
morning	Murder	Arizona	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	1
Unknown	Fire and Destruction	Arizona	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	2-5
night	Ghostly Sightings	Arizona	None	1
night	Violent or Tragic Deaths	Arizona	Both	1
Unknown		Arizona	Both	1
night	Object and Environmental Manipulation	Arizona	Visual Only	6-10
evening	Sounds and Noises	Arizona	Both	1
night	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Both	1
Unknown	Ghostly Sightings	Arizona	Audio Only	1
night	Murder	Arizona	Both	1
Unknown	Ghostly Sightings	Arizona	None	1
Unknown	Sounds and Noises	Arizona	Both	1
night	Ghostly Sightings	Arizona	Visual Only	1
Unknown	Sounds and Noises	Arizona	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Both	1
night	Ghostly Sightings	Arizona	None	0
night	Violent or Tragic Deaths	Arizona	None	2-5
Unknown	Unexplained Movements and Physical Manifestations	Arizona	Audio Only	1
night	Ghostly Sightings	Arizona	Audio Only	1
morning	Ghostly Sightings	Arizona	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown	Ghostly Sightings	Maryland	Audio Only	1
night	Violent or Tragic Deaths	Maryland	None	1
Unknown	Violent or Tragic Deaths	Maryland	None	2-5
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	1
night	Mysterious Occurrences	Maryland	Audio Only	2-5
Unknown	Sounds and Noises	Maryland	Both	2-5
night	Murder	Maryland	Both	0
Unknown	Murder	Maryland	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	0
night	Ghostly Sightings	Maryland	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
night	Ghostly Sightings	Maryland	Both	0
Unknown	Sounds and Noises	Maryland	Both	0
night	Unexplained Movements and Physical Manifestations	Maryland	Both	6-10
Unknown	Sounds and Noises	Maryland	Both	1
night	Ghostly Sightings	Maryland	Both	0
night		Maryland	Visual Only	1
night		Maryland	Both	1
night		Maryland	None	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	2-5
Unknown	Object and Environmental Manipulation	Maryland	Both	1
Unknown		Maryland	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	None	0
night	Violent or Tragic Deaths	Maryland	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	None	0
Unknown	Sounds and Noises	Maryland	Audio Only	1
night	Mysterious Occurrences	Maryland	Both	1
night	Object and Environmental Manipulation	Maryland	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	None	0
Unknown	Ghostly Sightings	Maryland	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	None	0
night	Sounds and Noises	Maryland	Both	0
Unknown		Maryland	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	1
Unknown		Maryland	Both	1
Unknown	Fire and Destruction	Maryland	Both	0
night	Sounds and Noises	Maryland	Both	1
night	Violent or Tragic Deaths	Maryland	Visual Only	10+
night	Unexplained Movements and Physical Manifestations	Maryland	Both	0
Unknown		Maryland	Both	10+
Unknown		Maryland	Visual Only	6-10
Unknown	Ghostly Sightings	Maryland	None	2-5
Unknown	Ghostly Sightings	Maryland	Visual Only	0
Unknown	Ghostly Sightings	Maryland	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown	Violent or Tragic Deaths	Maryland	Both	1
Unknown	Object and Environmental Manipulation	Maryland	Audio Only	1
night		Maryland	Both	0
Unknown		Maryland	None	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	1
Unknown	Sounds and Noises	Maryland	Audio Only	1
Unknown	Object and Environmental Manipulation	Maryland	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Maryland	Both	1
Unknown	Sounds and Noises	Maryland	Both	1
night	Sounds and Noises	Maryland	Both	6-10
Unknown	Mysterious Occurrences	Maryland	Audio Only	6-10
Unknown		Maryland	Visual Only	1
night	Ghostly Sightings	Maryland	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	0
Unknown	Ghostly Sightings	Maryland	None	1
Unknown	Ghostly Sightings	Maryland	Visual Only	1
Unknown	Ghostly Sightings	Maryland	Both	1
night		Maryland	Visual Only	0
Unknown	Ghostly Sightings	Maryland	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	1
night	Mysterious Occurrences	Maryland	Both	2-5
Unknown		Maryland	None	1
night	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Maryland	None	0
Unknown	Ghostly Sightings	Maryland	None	6-10
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	0
Unknown		Maryland	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	1
night		Maryland	None	0
Unknown	Sounds and Noises	Maryland	Both	0
Unknown	Ghostly Sightings	Maryland	None	6-10
night	Object and Environmental Manipulation	Maryland	Visual Only	1
Unknown	Ghostly Sightings	Maryland	Both	1
Unknown	Sounds and Noises	Maryland	Both	0
Unknown	Sounds and Noises	Maryland	Audio Only	1
night	Violent or Tragic Deaths	Maryland	Visual Only	1
night	Ghostly Sightings	Maryland	Both	1
night	Violent or Tragic Deaths	Maryland	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	0
Unknown	Ghostly Sightings	Maryland	Audio Only	1
night	Object and Environmental Manipulation	Maryland	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	0
Unknown	Ghostly Sightings	Maryland	Both	0
Unknown		Maryland	Audio Only	1
night	Violent or Tragic Deaths	Maryland	Both	0
night	Violent or Tragic Deaths	Maryland	Both	0
Unknown	Sounds and Noises	Maryland	Both	0
night	Murder	Maryland	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	0
night	Object and Environmental Manipulation	Maryland	Both	0
night	Object and Environmental Manipulation	Maryland	Both	0
morning	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	1
Unknown	Mysterious Occurrences	Maryland	Both	0
night	Unexplained Movements and Physical Manifestations	Maryland	Both	2-5
Unknown		Maryland	None	0
night		Maryland	Visual Only	0
night	Sounds and Noises	Maryland	Both	0
Unknown		Maryland	Visual Only	0
Unknown		Maryland	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown		Maryland	Visual Only	0
Unknown	Murder	Maryland	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown	Mysterious Occurrences	Maryland	Visual Only	0
night	Violent or Tragic Deaths	Maryland	Both	1
night	Mysterious Occurrences	Maryland	Visual Only	0
Unknown	Fire and Destruction	Maryland	Visual Only	0
Unknown		Maryland	Both	0
Unknown		Maryland	Visual Only	0
night	Ghostly Sightings	Maryland	None	1
night	Sounds and Noises	Maryland	Both	1
night	Murder	Maryland	Audio Only	6-10
Unknown	Sounds and Noises	Maryland	Both	0
night	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
night	Sounds and Noises	Maryland	Both	1
Unknown	Murder	Maryland	None	1
night	Mysterious Occurrences	Maryland	Visual Only	2-5
night	Ghostly Sightings	Maryland	Both	1
Unknown		Maryland	Both	1
night	Violent or Tragic Deaths	Maryland	None	1
night	Object and Environmental Manipulation	Maryland	Both	2-5
Unknown		Maryland	Visual Only	1
Unknown	Violent or Tragic Deaths	Maryland	Both	1
night	Sounds and Noises	Maryland	Both	0
Unknown		Maryland	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	0
night	Sounds and Noises	Maryland	Both	0
night	Murder	Maryland	Audio Only	1
Unknown	Mysterious Occurrences	Maryland	Audio Only	1
night	Fire and Destruction	Maryland	Both	6-10
Unknown	Sounds and Noises	Maryland	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
night	Ghostly Sightings	Maryland	Visual Only	6-10
night	Unexplained Movements and Physical Manifestations	Maryland	Both	1
night	Unexplained Movements and Physical Manifestations	Maryland	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
morning	Mysterious Occurrences	Maryland	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Both	1
Unknown	Sounds and Noises	Maryland	Both	2-5
night		Maryland	Both	6-10
Unknown	Fire and Destruction	Maryland	Visual Only	6-10
night	Murder	Maryland	Both	1
Unknown	Ghostly Sightings	Maryland	Visual Only	0
night	Murder	Maryland	Audio Only	0
Unknown		Maryland	None	0
night	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Maryland	Both	10+
Unknown	Ghostly Sightings	Maryland	Both	0
Unknown	Violent or Tragic Deaths	Maryland	Audio Only	1
Unknown		Maryland	Audio Only	0
Unknown	Sounds and Noises	Maryland	Both	1
Unknown	Ghostly Sightings	Maryland	Visual Only	0
Unknown	Violent or Tragic Deaths	Maryland	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maryland	Visual Only	0
Unknown	Ghostly Sightings	Maryland	Audio Only	0
night	Violent or Tragic Deaths	Maryland	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Maryland	None	0
Unknown	Violent or Tragic Deaths	Maryland	Audio Only	0
night		Oklahoma	None	0
night	Object and Environmental Manipulation	Oklahoma	Audio Only	1
night		Oklahoma	None	6-10
night	Object and Environmental Manipulation	Oklahoma	Audio Only	1
night	Murder	Oklahoma	Both	1
night	Ghostly Sightings	Oklahoma	Both	0
